,,,,,oral_scc,oral_non,oral_lip_scc,oral_lip_non,oral_tongue_scc,oral_tongue_non,oral_salivary_scc,oral_salivary_non,oral_floor_scc,oral_floor_non,oral_gum_scc,oral_gum_non,oral_nasopharynx_scc,oral_nasopharynx_non,oral_tonsil_scc,oral_tonsil_non,oral_oropharynx_scc,oral_oropharynx_non,oral_hypopharynx_scc,oral_hypopharynx_non,oral_other_scc,oral_other_non
  CA: Contra Costa County (06013),2000-2004,male,45-64,nhw,99,16,12,0,34,1,2,9,6,0,4,4,3,0,31,2,2,0,3,0,2,0
  CA: Contra Costa County (06013),2000-2004,male,65+,nhw,78,15,18,0,20,2,8,9,8,1,4,0,0,1,11,1,0,0,6,1,3,0
  CA: Contra Costa County (06013),2000-2004,female,0-44,nhw,15,6,1,0,9,0,0,5,0,0,1,1,0,0,2,0,1,0,0,0,1,0
  CA: Contra Costa County (06013),2000-2004,female,45-64,nhw,29,13,0,0,14,0,0,5,5,1,2,4,0,2,6,0,2,0,0,0,0,1
  CA: Contra Costa County (06013),2000-2004,female,65+,nhw,60,21,6,0,20,1,2,9,6,1,11,6,1,2,6,0,0,0,4,2,4,0
  CA: Contra Costa County (06013),2005-2009,male,0-44,nhw,32,10,1,1,16,0,1,4,3,0,0,1,0,3,10,1,0,0,1,0,0,0
  CA: Contra Costa County (06013),2005-2009,male,45-64,nhw,116,24,3,1,51,2,3,8,5,0,4,3,2,5,44,4,0,1,4,0,0,0
  CA: Contra Costa County (06013),2005-2009,male,65+,nhw,70,20,11,1,28,0,5,12,3,0,9,2,0,1,7,0,3,3,4,1,0,0
  CA: Contra Costa County (06013),2005-2009,female,0-44,nhw,8,5,1,1,3,0,1,1,0,0,0,0,0,2,3,0,0,1,0,0,0,0
  CA: Contra Costa County (06013),2005-2009,female,45-64,nhw,31,9,3,2,15,2,2,3,1,0,0,1,0,0,6,0,2,1,2,0,0,0
  CA: Contra Costa County (06013),2005-2009,female,65+,nhw,39,11,2,0,12,1,2,6,3,0,7,2,1,1,7,0,0,0,4,1,1,0
  CA: Contra Costa County (06013),2010-2013,male,0-44,nhw,24,3,5,0,11,0,0,2,0,0,0,0,0,1,7,0,1,0,0,0,0,0
  CA: Contra Costa County (06013),2010-2013,male,45-64,nhw,89,16,7,0,39,7,0,4,2,0,6,1,3,0,25,3,5,1,2,0,0,0
  CA: Contra Costa County (06013),2010-2013,male,65+,nhw,86,18,4,0,41,5,5,11,3,1,9,0,0,0,19,1,2,0,3,0,0,0
  CA: Contra Costa County (06013),2010-2013,female,0-44,nhw,3,5,0,0,2,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1
  CA: Contra Costa County (06013),2010-2013,female,45-64,nhw,26,7,3,1,9,0,1,1,2,1,5,2,0,1,6,0,0,0,0,0,0,1
  CA: Contra Costa County (06013),2010-2013,female,65+,nhw,41,14,3,1,22,1,1,8,0,1,12,2,0,0,1,1,0,0,2,0,0,0
  CA: Marin County (06041),2000-2004,male,0-44,nhw,15,5,3,0,4,0,0,2,0,0,0,3,0,0,7,0,0,0,1,0,0,0
  CA: Marin County (06041),2000-2004,male,45-64,nhw,45,11,2,0,18,1,1,6,0,0,6,2,1,1,12,1,3,0,2,0,0,0
  CA: Marin County (06041),2000-2004,male,65+,nhw,37,11,5,1,13,1,0,8,5,0,5,1,0,0,3,0,2,0,3,0,1,0
  CA: Marin County (06041),2000-2004,female,0-44,nhw,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
  CA: Marin County (06041),2000-2004,female,45-64,nhw,10,6,1,0,5,0,1,2,0,0,1,4,0,0,1,0,0,0,0,0,1,0
  CA: Marin County (06041),2000-2004,female,65+,nhw,22,9,1,0,8,2,1,3,0,1,6,3,0,0,1,0,1,0,3,0,1,0
  CA: Marin County (06041),2005-2009,male,0-44,nhw,13,2,4,0,6,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0
  CA: Marin County (06041),2005-2009,male,45-64,nhw,51,7,5,0,18,1,2,3,0,2,1,0,3,0,18,1,3,0,1,0,0,0
  CA: Marin County (06041),2005-2009,male,65+,nhw,41,9,5,1,21,2,2,5,4,0,2,0,0,0,5,1,1,0,1,0,0,0
  CA: Marin County (06041),2005-2009,female,0-44,nhw,1,3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
  CA: Marin County (06041),2005-2009,female,45-64,nhw,13,6,4,0,4,0,0,1,0,0,1,4,0,0,4,0,0,1,0,0,0,0
  CA: Marin County (06041),2005-2009,female,65+,nhw,20,9,5,0,5,0,1,4,2,0,2,1,0,1,1,1,3,0,1,2,0,0
  CA: Marin County (06041),2010-2013,male,0-44,nhw,16,2,3,0,6,1,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0
  CA: Marin County (06041),2010-2013,male,45-64,nhw,46,12,2,0,15,2,1,3,2,1,1,1,3,0,20,5,1,0,1,0,0,0
  CA: Marin County (06041),2010-2013,male,65+,nhw,46,14,9,1,16,2,1,5,0,0,9,2,0,2,2,1,6,1,2,0,1,0
  CA: Marin County (06041),2010-2013,female,0-44,nhw,6,2,1,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
  CA: Marin County (06041),2010-2013,female,45-64,nhw,14,5,3,0,3,0,0,2,1,0,1,2,0,0,6,1,0,0,0,0,0,0
  CA: Marin County (06041),2010-2013,female,65+,nhw,20,7,7,1,5,2,1,2,1,0,1,1,1,0,3,1,0,0,1,0,0,0
  CA: San Francisco County (06075),2000-2004,male,0-44,nhw,31,6,5,0,12,1,0,3,2,0,3,1,0,1,8,0,0,0,1,0,0,0
  CA: San Francisco County (06075),2000-2004,male,45-64,nhw,83,14,1,1,32,0,2,5,11,0,6,2,1,1,19,4,3,1,8,0,0,0
  CA: San Francisco County (06075),2000-2004,male,65+,nhw,63,14,7,2,25,1,5,4,7,0,5,2,0,2,4,1,1,1,8,1,1,0
  CA: San Francisco County (06075),2000-2004,female,0-44,nhw,7,6,1,0,3,0,0,2,1,0,0,4,0,0,1,0,0,0,1,0,0,0
  CA: San Francisco County (06075),2000-2004,female,45-64,nhw,22,6,2,0,8,1,1,3,2,0,3,2,0,0,3,0,0,0,3,0,0,0
  CA: San Francisco County (06075),2000-2004,female,65+,nhw,34,13,2,0,10,3,1,4,2,0,11,3,0,1,3,0,1,1,4,0,0,1
  CA: San Francisco County (06075),2005-2009,male,0-44,nhw,29,10,0,0,16,0,0,6,0,0,2,2,0,1,10,0,0,0,1,0,0,1
  CA: San Francisco County (06075),2005-2009,male,45-64,nhw,83,12,3,0,36,1,1,7,3,0,6,1,1,1,26,2,0,0,7,0,0,0
  CA: San Francisco County (06075),2005-2009,male,65+,nhw,50,6,11,0,16,1,2,2,2,0,7,1,2,0,4,1,2,0,4,1,0,0
  CA: San Francisco County (06075),2005-2009,female,0-44,nhw,6,5,1,1,4,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
  CA: San Francisco County (06075),2005-2009,female,45-64,nhw,16,10,0,0,7,0,0,7,1,1,5,2,0,0,3,0,0,0,0,0,0,0
  CA: San Francisco County (06075),2005-2009,female,65+,nhw,25,8,4,0,10,1,0,3,3,1,4,2,1,0,0,1,1,0,1,0,1,0
  CA: San Francisco County (06075),2010-2013,male,0-44,nhw,10,8,2,0,7,1,0,3,0,0,0,1,0,2,1,1,0,0,0,0,0,0
  CA: San Francisco County (06075),2010-2013,male,45-64,nhw,65,16,1,0,24,5,1,3,4,0,2,1,2,3,18,4,6,0,7,0,0,0
  CA: San Francisco County (06075),2010-2013,male,65+,nhw,49,7,3,0,19,2,3,3,6,0,3,1,2,1,5,0,4,0,3,0,1,0
  CA: San Francisco County (06075),2010-2013,female,0-44,nhw,7,4,0,0,5,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0
  CA: San Francisco County (06075),2010-2013,female,45-64,nhw,13,5,0,1,5,0,0,2,1,0,1,1,0,0,3,1,0,0,3,0,0,0
  CA: San Francisco County (06075),2010-2013,female,65+,nhw,18,7,2,0,6,2,1,3,0,0,6,1,0,1,2,0,0,0,1,0,0,0
  CA: San Mateo County (06081),2000-2004,male,0-44,nhw,21,3,4,1,7,0,0,1,0,0,2,0,0,0,7,1,0,0,1,0,0,0
  CA: San Mateo County (06081),2000-2004,male,45-64,nhw,69,6,10,1,28,0,0,3,6,0,5,0,2,0,13,2,1,0,4,0,0,0
  CA: San Mateo County (06081),2000-2004,male,65+,nhw,74,9,15,0,21,1,4,7,8,0,9,0,3,0,4,1,2,0,8,0,0,0
  CA: San Mateo County (06081),2000-2004,female,0-44,nhw,4,7,1,0,3,0,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0
  CA: San Mateo County (06081),2000-2004,female,45-64,nhw,17,5,2,0,6,0,0,3,2,1,2,1,0,0,2,0,2,0,1,0,0,0
  CA: San Mateo County (06081),2000-2004,female,65+,nhw,45,15,8,0,13,1,1,8,4,1,11,3,3,1,1,0,2,0,2,0,0,1
  CA: San Mateo County (06081),2005-2009,male,0-44,nhw,18,5,2,1,9,0,1,1,0,0,0,0,0,2,4,0,1,0,1,1,0,0
  CA: San Mateo County (06081),2005-2009,male,45-64,nhw,87,12,7,2,32,2,1,4,5,1,6,1,2,1,25,0,4,0,5,1,0,0
  CA: San Mateo County (06081),2005-2009,male,65+,nhw,61,12,5,0,23,2,7,6,5,1,5,1,0,1,9,1,3,0,4,0,0,0
  CA: San Mateo County (06081),2005-2009,female,0-44,nhw,8,3,1,0,4,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0
  CA: San Mateo County (06081),2005-2009,female,45-64,nhw,27,5,0,1,15,0,0,2,2,0,1,1,1,0,4,1,1,0,3,0,0,0
  CA: San Mateo County (06081),2005-2009,female,65+,nhw,50,9,11,0,15,0,1,4,3,0,11,3,1,1,3,1,3,0,2,0,0,0
  CA: San Mateo County (06081),2010-2013,male,0-44,nhw,15,3,2,0,9,0,0,2,0,0,1,0,0,0,3,0,0,1,0,0,0,0
  CA: San Mateo County (06081),2010-2013,male,45-64,nhw,78,10,8,0,30,3,0,2,3,0,5,2,1,0,23,2,3,1,5,0,0,0
  CA: San Mateo County (06081),2010-2013,male,65+,nhw,50,8,6,0,15,3,4,4,2,0,5,0,0,1,7,0,6,0,5,0,0,0
  CA: San Mateo County (06081),2010-2013,female,0-44,nhw,8,2,0,0,4,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0
  CA: San Mateo County (06081),2010-2013,female,45-64,nhw,21,6,2,1,8,0,0,3,0,0,3,2,0,0,6,0,1,0,1,0,0,0
  CA: San Mateo County (06081),2010-2013,female,65+,nhw,24,4,3,1,11,0,1,1,3,0,5,0,0,1,0,0,0,0,1,1,0,0
  CA: Monterey County (06053),2000-2004,male,0-44,nhw,7,3,0,0,3,0,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,1
  CA: Monterey County (06053),2000-2004,male,45-64,nhw,36,3,1,1,11,0,3,1,2,0,4,0,2,0,11,0,1,0,1,0,0,1
  CA: Monterey County (06053),2000-2004,male,65+,nhw,34,9,4,0,14,1,7,6,1,0,0,1,1,0,4,1,1,0,2,0,0,0
  CA: Monterey County (06053),2000-2004,female,0-44,nhw,2,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Monterey County (06053),2000-2004,female,45-64,nhw,7,2,1,0,3,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0
  CA: Monterey County (06053),2000-2004,female,65+,nhw,16,7,3,0,7,2,0,2,0,0,4,3,0,0,1,0,0,0,1,0,0,0
  CA: Monterey County (06053),2005-2009,male,0-44,nhw,9,4,0,0,2,0,0,2,0,0,1,1,0,1,5,0,0,0,1,0,0,0
  CA: Monterey County (06053),2005-2009,male,45-64,nhw,50,3,2,0,15,1,2,0,1,0,1,1,1,1,24,0,0,0,4,0,0,0
  CA: Monterey County (06053),2005-2009,male,65+,nhw,28,7,2,0,9,0,3,2,2,0,1,1,4,1,6,1,0,1,1,0,0,1
  CA: Monterey County (06053),2005-2009,female,0-44,nhw,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
  CA: Monterey County (06053),2005-2009,female,45-64,nhw,10,3,0,0,4,1,0,0,1,0,0,1,0,1,3,0,1,0,0,0,1,0
  CA: Monterey County (06053),2005-2009,female,65+,nhw,13,2,1,1,6,0,0,1,2,0,1,0,1,0,0,0,2,0,0,0,0,0
  CA: Monterey County (06053),2010-2013,male,0-44,nhw,7,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
  CA: Monterey County (06053),2010-2013,male,45-64,nhw,29,3,1,0,13,0,0,1,1,0,1,0,4,1,8,1,1,0,0,0,0,0
  CA: Monterey County (06053),2010-2013,male,65+,nhw,20,5,1,0,9,0,0,3,0,0,1,1,1,0,4,1,1,0,3,0,0,0
  CA: Monterey County (06053),2010-2013,female,0-44,nhw,3,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
  CA: Monterey County (06053),2010-2013,female,45-64,nhw,5,2,0,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0
  CA: Monterey County (06053),2010-2013,female,65+,nhw,16,3,0,1,7,0,0,2,0,0,5,0,1,0,1,0,1,0,1,0,0,0
  CA: San Benito County (06069),2000-2004,male,0-44,nhw,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  CA: San Benito County (06069),2000-2004,male,45-64,nhw,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2000-2004,male,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2000-2004,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2000-2004,female,45-64,nhw,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2000-2004,female,65+,nhw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2005-2009,male,0-44,nhw,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  CA: San Benito County (06069),2005-2009,male,45-64,nhw,5,2,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0
  CA: San Benito County (06069),2005-2009,male,65+,nhw,5,2,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2005-2009,female,0-44,nhw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2005-2009,female,45-64,nhw,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
  CA: San Benito County (06069),2005-2009,female,65+,nhw,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2010-2013,male,0-44,nhw,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2010-2013,male,45-64,nhw,6,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
  CA: San Benito County (06069),2010-2013,male,65+,nhw,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2010-2013,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2010-2013,female,45-64,nhw,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
  CA: San Benito County (06069),2010-2013,female,65+,nhw,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Santa Clara County (06085),2000-2004,male,0-44,nhw,47,8,8,1,17,0,1,6,2,0,3,0,1,0,15,1,0,0,0,0,0,0
  CA: Santa Clara County (06085),2000-2004,male,45-64,nhw,129,16,8,0,41,1,3,6,11,0,4,5,3,0,42,2,4,1,11,1,2,0
  CA: Santa Clara County (06085),2000-2004,male,65+,nhw,99,24,15,0,17,2,8,12,6,0,24,7,2,1,15,0,1,0,10,1,1,1
  CA: Santa Clara County (06085),2000-2004,female,0-44,nhw,10,12,1,0,4,0,0,9,0,1,0,0,1,2,4,0,0,0,0,0,0,0
  CA: Santa Clara County (06085),2000-2004,female,45-64,nhw,43,12,2,1,9,1,0,6,2,0,6,3,1,0,18,0,2,0,3,1,0,0
  CA: Santa Clara County (06085),2000-2004,female,65+,nhw,62,16,9,2,22,0,0,6,5,0,11,1,1,0,6,0,3,0,4,4,1,3
  CA: Santa Clara County (06085),2005-2009,male,0-44,nhw,37,13,2,0,13,1,0,6,1,0,3,0,2,4,14,1,0,0,2,1,0,0
  CA: Santa Clara County (06085),2005-2009,male,45-64,nhw,144,28,12,1,50,4,2,15,7,0,9,3,2,3,47,1,6,0,8,1,1,0
  CA: Santa Clara County (06085),2005-2009,male,65+,nhw,94,27,17,3,35,3,8,16,5,0,11,4,0,1,11,0,3,0,3,0,1,0
  CA: Santa Clara County (06085),2005-2009,female,0-44,nhw,13,7,1,0,8,1,0,2,1,0,1,1,0,1,0,0,0,0,2,1,0,1
  CA: Santa Clara County (06085),2005-2009,female,45-64,nhw,38,10,4,0,19,1,0,4,1,0,5,3,0,1,4,0,1,0,4,1,0,0
  CA: Santa Clara County (06085),2005-2009,female,65+,nhw,55,14,3,0,24,1,1,6,3,1,15,4,0,0,6,0,0,2,2,0,1,0
  CA: Santa Clara County (06085),2010-2013,male,0-44,nhw,24,7,1,0,6,2,0,3,1,0,2,1,0,0,12,0,1,1,1,0,0,0
  CA: Santa Clara County (06085),2010-2013,male,45-64,nhw,135,19,7,2,47,2,0,8,5,0,9,5,2,0,52,1,9,0,4,1,0,0
  CA: Santa Clara County (06085),2010-2013,male,65+,nhw,73,15,10,0,24,2,6,6,3,0,12,2,1,3,6,1,6,1,5,0,0,0
  CA: Santa Clara County (06085),2010-2013,female,0-44,nhw,8,5,2,0,5,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0
  CA: Santa Clara County (06085),2010-2013,female,45-64,nhw,32,12,1,0,19,1,0,6,1,0,1,5,3,0,6,0,0,0,1,0,0,0
  CA: Santa Clara County (06085),2010-2013,female,65+,nhw,52,9,4,0,15,0,1,6,2,1,20,2,2,0,5,0,1,0,1,0,1,0
  CA: Santa Cruz County (06087),2000-2004,male,0-44,nhw,10,0,3,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0
  CA: Santa Cruz County (06087),2000-2004,male,45-64,nhw,36,6,4,0,12,2,0,3,2,0,1,0,0,0,15,1,0,0,2,0,0,0
  CA: Santa Cruz County (06087),2000-2004,male,65+,nhw,12,3,2,0,2,1,0,0,1,1,1,1,0,0,2,0,0,0,3,0,1,0
  CA: Santa Cruz County (06087),2000-2004,female,0-44,nhw,2,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
  CA: Santa Cruz County (06087),2000-2004,female,45-64,nhw,7,3,0,1,4,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0
  CA: Santa Cruz County (06087),2000-2004,female,65+,nhw,9,6,0,2,3,1,0,2,1,0,3,1,0,0,1,0,1,0,0,0,0,0
  CA: Santa Cruz County (06087),2005-2009,male,0-44,nhw,14,1,1,0,3,0,0,0,0,0,0,0,2,1,7,0,1,0,0,0,0,0
  CA: Santa Cruz County (06087),2005-2009,male,45-64,nhw,54,6,5,0,26,2,0,3,0,0,2,0,1,1,17,0,1,0,2,0,0,0
  CA: Santa Cruz County (06087),2005-2009,male,65+,nhw,15,2,2,0,4,0,2,2,2,0,1,0,0,0,2,0,0,0,2,0,0,0
  CA: Santa Cruz County (06087),2005-2009,female,0-44,nhw,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
  CA: Santa Cruz County (06087),2005-2009,female,45-64,nhw,10,3,0,0,4,1,0,1,1,0,1,1,0,0,2,0,0,0,2,0,0,0
  CA: Santa Cruz County (06087),2005-2009,female,65+,nhw,10,2,1,1,5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
  CA: Santa Cruz County (06087),2010-2013,male,0-44,nhw,9,2,0,0,2,0,0,2,1,0,0,0,0,0,5,0,1,0,0,0,0,0
  CA: Santa Cruz County (06087),2010-2013,male,45-64,nhw,50,3,1,1,14,0,3,2,1,0,0,0,0,0,23,0,3,0,5,0,0,0
  CA: Santa Cruz County (06087),2010-2013,male,65+,nhw,28,5,1,1,11,0,3,1,0,0,3,1,0,0,3,0,1,1,4,0,2,1
  CA: Santa Cruz County (06087),2010-2013,female,0-44,nhw,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
  CA: Santa Cruz County (06087),2010-2013,female,45-64,nhw,8,5,0,0,5,1,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0
  CA: Santa Cruz County (06087),2010-2013,female,65+,nhw,11,2,1,0,2,0,1,0,1,0,2,1,0,0,2,1,1,0,0,0,1,0
CA: Los Angeles Registry (06037),2000-2004,male,0-44,nhw,178,66,16,1,76,6,3,29,9,0,7,11,6,9,47,8,8,0,2,2,4,0
CA: Los Angeles Registry (06037),2000-2004,male,45-64,nhw,583,121,45,3,198,23,6,42,47,3,50,11,14,9,156,21,23,1,29,7,15,1
CA: Los Angeles Registry (06037),2000-2004,male,65+,nhw,526,142,71,6,160,26,34,60,29,4,74,19,10,9,77,4,20,1,41,5,10,8
CA: Los Angeles Registry (06037),2000-2004,female,0-44,nhw,51,39,3,1,28,2,2,20,1,1,4,12,4,2,4,1,3,0,2,0,0,0
CA: Los Angeles Registry (06037),2000-2004,female,45-64,nhw,158,45,7,1,65,10,3,14,13,0,21,10,3,5,24,3,10,1,9,1,3,0
CA: Los Angeles Registry (06037),2000-2004,female,65+,nhw,337,108,39,4,106,6,7,59,30,4,79,20,6,3,30,4,11,0,26,4,3,4
CA: Los Angeles Registry (06037),2005-2009,male,0-44,nhw,172,49,21,0,65,4,2,23,3,0,7,9,7,6,51,7,9,0,5,0,2,0
CA: Los Angeles Registry (06037),2005-2009,male,45-64,nhw,617,118,28,1,230,24,11,33,34,3,45,13,20,8,175,28,28,3,31,3,15,2
CA: Los Angeles Registry (06037),2005-2009,male,65+,nhw,447,138,58,6,146,16,49,65,23,0,51,20,6,5,57,18,14,2,35,2,8,4
CA: Los Angeles Registry (06037),2005-2009,female,0-44,nhw,47,36,4,0,24,1,0,19,3,0,3,11,0,4,9,1,1,0,2,0,1,0
CA: Los Angeles Registry (06037),2005-2009,female,45-64,nhw,144,54,11,2,57,5,1,30,7,2,16,8,2,7,35,0,5,0,8,0,2,0
CA: Los Angeles Registry (06037),2005-2009,female,65+,nhw,249,91,20,2,94,8,7,46,10,3,66,17,5,7,20,2,8,2,13,2,6,2
CA: Los Angeles Registry (06037),2010-2013,male,0-44,nhw,106,35,9,1,44,3,3,13,2,0,6,3,3,4,31,9,4,0,3,0,1,2
CA: Los Angeles Registry (06037),2010-2013,male,45-64,nhw,522,88,40,0,224,24,11,21,17,2,27,7,13,4,140,23,21,4,26,1,3,2
CA: Los Angeles Registry (06037),2010-2013,male,65+,nhw,404,108,37,9,146,19,31,45,23,2,44,11,5,4,70,8,11,3,32,3,5,4
CA: Los Angeles Registry (06037),2010-2013,female,0-44,nhw,36,24,3,0,18,1,1,15,1,0,3,2,0,4,5,1,1,0,1,0,3,1
CA: Los Angeles Registry (06037),2010-2013,female,45-64,nhw,138,39,9,1,62,4,3,16,2,0,17,6,6,3,27,8,6,1,2,0,4,0
CA: Los Angeles Registry (06037),2010-2013,female,65+,nhw,188,64,19,1,68,9,5,27,10,2,48,13,5,3,18,3,4,2,8,1,3,3
  CA: Alpine County (06003),2000-2004,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alpine County (06003),2000-2004,male,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alpine County (06003),2000-2004,male,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alpine County (06003),2000-2004,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
